,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
226,Samsung,Samsung Crystal Vision 4K iSmart,65,Ultra HD (4K),LED,IOT Sensors fo...,1695,365,4.2,44999,44999,Tizen,2023,0.0
227,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",26,14,3.8,21999,49999,Google,2024,56.0
228,TOSHIBA,TOSHIBA,50,Ultra HD (4K),LED,"Dolby Atmos, 30W Powerful...",466,41,4.0,25499,25499,Google,2025,0.0
230,Reliance,Reliance,32,Full HD,LED,Fremless Design and Magic Voice Remote.,25710,2989,4.2,12989,22999,webOS,2024,43.52
231,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,747,108,4.4,10499,19999,Google,2025,47.5
232,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,40610,7748,4.4,13499,139990,Coolita,2025,90.36
233,LG,LG OLED A2,55,Ultra HD (4K),LED,"Alpha7 Gen5 AI Processor, AI Pictur...",82,4,4.0,26999,26999,webOS,2022,0.0
235,TOSHIBA,TOSHIBA,55,Ultra HD (4K),LED,"Full Array Local Dimming, 49W Power B...",1282,157,4.1,38999,99999,Google,2024,61.0
236,Acer,Acer,70,Ultra HD (4K),LED,Not Specified,8304,929,4.0,40990,40990,Google,2023,0.0
237,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,337,44,4.4,12990,29990,Android,2025,56.69
238,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,3716,463,4.2,7490,60999,Android,2024,87.72
239,realme,realme TechLife CineSonic Q,50,Ultra HD (4K),LED,Not Specified,25710,2989,4.2,24990,24990,Google,2024,0.0
241,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,4,0,4.3,7699,28990,Coolita,2025,73.44
242,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,2853,293,4.2,7590,60660,Android,2025,87.49
243,Haier,Haier,43,Ultra HD (4K),LED,"Dolby Vision, Metal Bezel-Less",8304,929,4.0,34350,166990,Google,2024,79.43
244,TCL,TCL C655,65,Ultra HD (4K),LED,T-SCREEN |Dolby Vision-Atmos | Hands...,7394,893,4.3,22990,22990,Google,2024,0.0
245,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,1282,157,4.1,5890,69990,Android,2024,91.58
246,Hisense,Hisense Tornado,55,Ultra HD (4K),LED,"102W 6 Speakers, Dolby Vision ...",5721,807,4.2,22990,22990,Google,2022,0.0
247,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,28,5,4.5,5890,34990,Android,2025,83.17
248,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,9842,1303,4.3,19999,56990,Android,2023,64.91
249,Haier,Haier,43,Ultra HD (4K),LED,Not Specified,9842,1303,4.3,17500,17500,Google,2023,0.0
251,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",4436,728,4.2,31999,44999,Google,2024,28.89
252,Hisense,Hisense E6N,43,Ultra HD (4K),LED,"Dolby Vision Atmos, Dts Virtual X ...",951,148,4.1,21999,279990,Google,2024,92.14
